mnemonic	summary	kind	standard_status_hint	source_section
DSEBLKRDFAIL	Failed attempt to read block	Error	ydb-extension	MessageRecovery/errors.rst#DSEBLKRDFAIL
DSEFAIL	DSE failed. Failure code: xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#DSEFAIL
DSEINVALBLKID	Trying to edit DB with 64-bit block IDs using pre-GT.M-V7/pre-YottaDB-r2.00 DSE	Error	ydb-extension	MessageRecovery/errors.rst#DSEINVALBLKID
DSEINVLCLUSFN	Specified function is invalid for clustered databases	Error	ydb-extension	MessageRecovery/errors.rst#DSEINVLCLUSFN
DSEMAXBLKSAV	DSE cannot SAVE another block as it already has the maximum of mmmm	Error	ydb-extension	MessageRecovery/errors.rst#DSEMAXBLKSAV
DSENOFINISH	DSE unable to finish all requested actions	Error	ydb-extension	MessageRecovery/errors.rst#DSENOFINISH
DSENOTOPEN	DSE could not open region rrrr - see DSE startup error message for cause	Error	ydb-extension	MessageRecovery/errors.rst#DSENOTOPEN
DSEONLYBGMM	xxxx is supported only for BG/MM access methods	Warning	ydb-extension	MessageRecovery/errors.rst#DSEONLYBGMM
DSEWCINITCON	No action taken, enter YES at CONFIRMATION prompt to initialize global buffers	Warning	ydb-extension	MessageRecovery/errors.rst#DSEWCINITCON
DSEWCREINIT	Database cache reinitialized by DSE for region rrrr	Information	ydb-extension	MessageRecovery/errors.rst#DSEWCREINIT
DSKNOSPCAVAIL	Attempted write to file FFFF failed due to lack of disk space. Retrying indefinitely.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#DSKNOSPCAVAIL
DSKNOSPCBLOCKED	Retry of write to file FFFF suspended due to new instance freeze. Waiting for instance to be unfrozen.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#DSKNOSPCBLOCKED
DSKSPACEFLOW	Disk Space for file xxxx nearing maximum size. YYYY blocks available.	Warning	ydb-extension	MessageRecovery/errors.rst#DSKSPACEFLOW
DSKSPCAVAILABLE	Write to file FFFF succeeded after out-of-space condition cleared	Information	ydb-extension	MessageRecovery/errors.rst#DSKSPCAVAILABLE
DSKSPCCHK	Error while checking for available disk space to create file DDDD	Error	ydb-extension	MessageRecovery/errors.rst#DSKSPCCHK
DUPLICATENEW	Variable xxxx appears twice in the same NEW command	Warning	ydb-extension	MessageRecovery/errors.rst#DUPLICATENEW
DUPTN	Duplicate transaction found [TN = xxxx] at offset aaaa in journal file yyyy	Warning	ydb-extension	MessageRecovery/errors.rst#DUPTN
DUPTOKEN	Token xxxx is duplicate in the journal file yyyy for database zzzz	Error	ydb-extension	MessageRecovery/errors.rst#DUPTOKEN
DVIKEYBAD	"$ZGETDVI(""xxxx"",""yyyy"") contains an illegal keyword"	Run Time Error	ydb-extension	MessageRecovery/errors.rst#DVIKEYBAD
DYNUPGRDFAIL	Unable to dynamically upgrade block aaa in database yyy due to lack of free space in block	Run Time Error	ydb-extension	MessageRecovery/errors.rst#DYNUPGRDFAIL
DZTRIGINTRIG	$ZTRIGGER() is not allowed inside trigger context. Trigger name: nnnn	Run Time Error	ydb-extension	MessageRecovery/errors.rst#DZTRIGINTRIG
DZWRNOALIAS	$ZWRTAC cannot be aliased	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#DZWRNOALIAS
DZWRNOPAREN	$ZWRTACxxx is not allowed inside a parenthesized SET target	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#DZWRNOPAREN
ECLOSTMID	$ECODE overflow, the first and last ecodes are retained, but some intervening ecodes have been lost	Warning	ydb-extension	MessageRecovery/errors.rst#ECLOSTMID
ENCRYPTCONFLT	MUPIP REORG -ENCRYPT and MUPIP EXTRACT -FORMAT=BIN cannot run concurrently - skipping oooo on region: rrrr, file: ffff	Error	ydb-extension	MessageRecovery/errors.rst#ENCRYPTCONFLT
ENCRYPTCONFLT2	A concurrent MUPIP REORG -ENCRYPT changed the encryption key for RRRR before the process could initialize it	Warning	ydb-extension	MessageRecovery/errors.rst#ENCRYPTCONFLT2
ENDIANCVT	Converted database file xxxx from yyyy endian to zzzz endian on a wwww endian system	Information	ydb-extension	MessageRecovery/errors.rst#ENDIANCVT
ENOSPCQIODEFER	Write to file FFFF deferred due to lack of disk space	Information	ydb-extension	MessageRecovery/errors.rst#ENOSPCQIODEFER
EORNOTFND	xxxx End of record not found	Error	ydb-extension	MessageRecovery/errors.rst#EORNOTFND
EPOCHTNHI	At the EPOCH record at offset xxxx of yyyy transaction number [aaaa] is higher than database transaction number [bbbb]	Error	ydb-extension	MessageRecovery/errors.rst#EPOCHTNHI
EQUAL	Equal sign expected but not found	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#EQUAL
ERRCALL	Error called from xxxx line yyyy	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRCALL
ERRORSUMMARY	Errors occurred during compilation	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#ERRORSUMMARY
ERRWETRAP	Error while processing $ETRAP	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWETRAP
ERRWEXC	Error while processing exception string	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWEXC
ERRWIOEXC	Error while processing I/O exception string	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWIOEXC
ERRWZBRK	Error while processing ZBREAK action string	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWZBRK
ERRWZINTR	Error while processing $ZINTERRUPT	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWZINTR
ERRWZTIMEOUT	Error while processing $ZTIMEOUT	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWZTIMEOUT
ERRWZTRAP	Error while processing $ZTRAP	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ERRWZTRAP
EVENTLOGERR	Error in event logging subsystem	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EVENTLOGERR
EXCEEDRCTLRNDWN	Maximum relinkctl rundown retries limit of nnnn exceeded	Error	ydb-extension	MessageRecovery/errors.rst#EXCEEDRCTLRNDWN
EXCEEDSPREALLOC	Preallocated size ssss for M external call label LLLL exceeded by string of length SSSS	Error	ydb-extension	MessageRecovery/errors.rst#EXCEEDSPREALLOC
EXCLUDEREORG	Global: xxxx is present in the EXCLUDE option. REORG will skip the global.	Warning	ydb-extension	MessageRecovery/errors.rst#EXCLUDEREORG
EXECOM	Executing command file xxxx	Information	ydb-extension	MessageRecovery/errors.rst#EXECOM
EXITSTATUS	Unexpected process exit (xxxx), exit status aaaa -- called from module yyyy at line zzzz	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EXITSTATUS
EXPR	Expression expected but not found	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#EXPR
EXTCALLBOUNDS	Wrote outside bounds of external call buffer. M label: LLLL	Fatal	ydb-extension	MessageRecovery/errors.rst#EXTCALLBOUNDS
EXTGBLDEL	Invalid delimiter for extended global syntax	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EXTGBLDEL
EXTRACTCTRLY	User interrupt encountered during extract -- halting	Warning	ydb-extension	MessageRecovery/errors.rst#EXTRACTCTRLY
EXTRACTFILERR	Error with extract file xxxx	Error	ydb-extension	MessageRecovery/errors.rst#EXTRACTFILERR
EXTRFAIL	Extract failed for the global ^gggg. MUPIP INTEG should be run.	Error	ydb-extension	MessageRecovery/errors.rst#EXTRFAIL
EXTRFILEXISTS	Error opening output file: ffff -- File exists	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EXTRFILEXISTS
EXTRFMT	Extract error: invalid record format - no records found.	Error	ydb-extension	MessageRecovery/errors.rst#EXTRFMT
EXTRINTEGRITY	Database ffff potentially contains spanning nodes or data encrypted with two different keys	Error	ydb-extension	MessageRecovery/errors.rst#EXTRINTEGRITY
EXTSRCLIN	xxxx yyyy	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EXTSRCLIN
EXTSRCLOC	At column xxxx, line yyyy, source module zzzz	Run Time Error	ydb-extension	MessageRecovery/errors.rst#EXTSRCLOC
FAILEDRECCOUNT	LOAD unable to process MMMM records	Error	ydb-extension	MessageRecovery/errors.rst#FAILEDRECCOUNT
FALLINTOFLST	Fall-through to a label with formallist is not allowed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FALLINTOFLST
FATALERROR1	Fatal error raised. Generating core and terminating process. Error: <error>.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FATALERROR1
FATALERROR2	Fatal error raised. Bypassing core generation and terminating process. Error: <error>	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FATALERROR2
FCHARMAXARGS	Argument count of $CHAR function exceeded the maximum of 255	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#FCHARMAXARGS
FCNSVNEXPECTED	Function or special variable expected in this context	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#FCNSVNEXPECTED
FDSIZELMT	Too many nnnn descriptors needed by GT.CM server	Error	ydb-extension	MessageRecovery/errors.rst#FDSIZELMT
FILECREATE	AAAA file xxxx created	Information	ydb-extension	MessageRecovery/errors.rst#FILECREATE
FILECREERR	Error OOOO for file DDDD during DB creation	Error	ydb-extension	MessageRecovery/errors.rst#FILECREERR
FILEDEL	File xxxx successfully deleted	Information	ydb-extension	MessageRecovery/errors.rst#FILEDEL
FILEDELFAIL	Deletion of file xxxx failed	Warning	ydb-extension	MessageRecovery/errors.rst#FILEDELFAIL
FILEEXISTS	File xxxx already exists	Error	ydb-extension	MessageRecovery/errors.rst#FILEEXISTS
FILEIDGBLSEC	File ID in global section does not match with the database file xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILEIDGBLSEC
FILEIDMATCH	Saved File ID does not match the current ID - the file appears to have been moved	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILEIDMATCH
FILENAMETOOLONG	File name too long	Information	ydb-extension	MessageRecovery/errors.rst#FILENAMETOOLONG
FILENOTCREATE	AAAA file xxxx not created	Information	ydb-extension	MessageRecovery/errors.rst#FILENOTCREATE
FILENOTFND	File xxxx not found	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILENOTFND
FILEOPENFAIL	Failed to open file ffff	Error	ydb-extension	MessageRecovery/errors.rst#FILEOPENFAIL
FILEPARSE	Error parsing file specification: xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILEPARSE
FILEPATHTOOLONG	Filename including the path cannot be longer than 255 characters	Error	ydb-extension	MessageRecovery/errors.rst#FILEPATHTOOLONG
FILERENAME	File xxxx is renamed to yyyy	Information	ydb-extension	MessageRecovery/errors.rst#FILERENAME
FILTERBADCONV	Bad conversion of seqno xxxx by filter	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILTERBADCONV
FILTERCOMM	Error communicating seqno xxxx with the filter	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILTERCOMM
FILTERNOTALIVE	Replication server detected that the filter is not alive while attempting to send seqno xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FILTERNOTALIVE
FILTERTIMEDOUT	Replication server timed out attempting to read seqno ssss from external filter	Error	ydb-extension	MessageRecovery/errors.rst#FILTERTIMEDOUT
FMLLSTMISSING	The formal list is absent from a label called with an actual list: xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FMLLSTMISSING
FNARGINC	"Format specifiers to $FNUMBER are incompatible: ""xxxx"""	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FNARGINC
FNNAMENEG	Depth argument to $NAME cannot be negative	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FNNAMENEG
FNOTONSYS	Function or special variable is not supported by this operating system	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#FNOTONSYS
FNTRANSERROR	Filename including path exceeded 255 chars while trying to resolve filename FFFF	Error	ydb-extension	MessageRecovery/errors.rst#FNTRANSERROR
FNUMARG	"$FNUMBER format specifier ""xxxx"" contains an illegal character: ""yyyy"""	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FNUMARG
FORCEDHALT	Image HALTed by MUPIP STOP	Warning	ydb-extension	MessageRecovery/errors.rst#FORCEDHALT
FORCEDHALT2	Receipt of 3 MUPIP STOP signals within xxxx seconds, process: yyyy shutting down with no exit handling like a kill -9	Fatal	ydb-extension	MessageRecovery/errors.rst#FORCEDHALT2
FOROFLOW	FOR commands nested more than xxxx deep on a line	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#FOROFLOW
FREEBLKSLOW	Only bbbb free blocks left out of tttt total blocks for ffff	Warning	ydb-extension	MessageRecovery/errors.rst#FREEBLKSLOW
FREEMEMORY	Error occurred freeing memory from xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FREEMEMORY
FREEZE	Region: xxxx is already frozen	Information	ydb-extension	MessageRecovery/errors.rst#FREEZE
FREEZECTRL	Control Y or control C encountered during attempt to freeze the database. Aborting freeze.	Information	ydb-extension	MessageRecovery/errors.rst#FREEZECTRL
FREEZEERR	Error while trying to ffff region rrrr	Error	ydb-extension	MessageRecovery/errors.rst#FREEZEERR
FSEXP	File specification expected but not found	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FSEXP
FTOKERR	Error getting ftok of the file xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#FTOKERR
FTOKKEY	FTOK key nnnn	Information	ydb-extension	MessageRecovery/errors.rst#FTOKKEY
GBLEXPECTED	Global variable reference expected in this context	Error	ydb-extension	MessageRecovery/errors.rst#GBLEXPECTED
GBLMODFAIL	Global variable Conflict Test failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GBLMODFAIL
GBLNAMCOLLRANGE	Collation sequence #nnnn is out of range (0 thru 255)	Error	ydb-extension	MessageRecovery/errors.rst#GBLNAMCOLLRANGE
GBLNAMCOLLUNDEF	Error opening shared library of collation sequence #nnnn for GBLNAME gggg	Error	ydb-extension	MessageRecovery/errors.rst#GBLNAMCOLLUNDEF
GBLNAMCOLLVER	Global directory indicates GBLNAME gggg has collation sequence #nnnn with a version #vvvv but shared library reports different version #llll	Error	ydb-extension	MessageRecovery/errors.rst#GBLNAMCOLLVER
GBLNAME	Either an identifier or a left parenthesis is expected after a ^ in this context	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#GBLNAME
GBLNAMEIS	in gblname gggg	Information	ydb-extension	MessageRecovery/errors.rst#GBLNAMEIS
GBLNOEXIST	Global xxxx no longer exists	Information	ydb-extension	MessageRecovery/errors.rst#GBLNOEXIST
GBLNOMAPTOREG	Global gggg does not map to region rrrr in current global directory	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GBLNOMAPTOREG
GBLOFLOW	Database file FFFF is full	Error	ydb-extension	MessageRecovery/errors.rst#GBLOFLOW
GBLSECNOTGDS	Global Section xxxx is not a YottaDB global section	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GBLSECNOTGDS
GDCREATE	Creating Global Directory file xxxx	Information	ydb-extension	MessageRecovery/errors.rst#GDCREATE
GDEASYNCIONOMM	ssss segment has ASYNCIO turned on. Cannot support MM access method.	Error	ydb-extension	MessageRecovery/errors.rst#GDEASYNCIONOMM
GDECHECK	Internal GDE consistency check	Fatal	ydb-extension	MessageRecovery/errors.rst#GDECHECK
GDECRYPTNOMM	ssss segment has encryption turned on. Cannot support MM access method.	Error	ydb-extension	MessageRecovery/errors.rst#GDECRYPTNOMM
GDELOGFAIL	GDE failed to log command. Check operator log for more information	Error	ydb-extension	MessageRecovery/errors.rst#GDELOGFAIL
GDINVALID	Unrecognized Global Directory file format: ffff, expected label: eeee, found: bbbb	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GDINVALID
GDNOTSET	Global Directory not changed because the current GD cannot be written	Information	ydb-extension	MessageRecovery/errors.rst#GDNOTSET
GDREADERR	Error reading Global Directory: xxxx	Information	ydb-extension	MessageRecovery/errors.rst#GDREADERR
GDUNKNFMT	xxxx is not formatted as a Global Directory	Information	ydb-extension	MessageRecovery/errors.rst#GDUNKNFMT
GDUPDATE	Updating Global Directory file xxxx	Information	ydb-extension	MessageRecovery/errors.rst#GDUPDATE
GDUSEDEFS	Using defaults for Global Directory xxxx	Information	ydb-extension	MessageRecovery/errors.rst#GDUSEDEFS
GETADDRINFO	Error in getting address info	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GETADDRINFO
GETNAMEINFO	Error in getting name info	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GETNAMEINFO
GETSOCKNAMERR	Getting the socket name failed from getsockname(): (errno==aaaa) xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GETSOCKNAMERR
GETSOCKOPTERR	Getting the socket attribute xxxx failed: (errno == yyyy) zzzz	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GETSOCKOPTERR
GOQPREC	Numeric precision in key error: Blk #xxxx, Key #yyyy. Record not loaded.	Information	ydb-extension	MessageRecovery/errors.rst#GOQPREC
GTMASSERT	xxxx - Assert failed yyyy line zzzz	Fatal	ydb-extension	MessageRecovery/errors.rst#GTMASSERT
GTMASSERT2	YottaDB eeee - Assert failed LLLL for expression (eeee)	Fatal	ydb-extension	MessageRecovery/errors.rst#GTMASSERT2
GTMCHECK	Internal YottaDB error--Report to your YottaDB Support Channel	Fatal	ydb-extension	MessageRecovery/errors.rst#GTMCHECK
GTMCURUNSUPP	The requested operation is unsupported in this version of YottaDB	Error	ydb-extension	MessageRecovery/errors.rst#GTMCURUNSUPP
GTMEISDIR	dddd : Is a directory	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMEISDIR
GTMSECSHR	xxxx : Error during gtmsecshr operation	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHR
GTMSECSHRBADDIR	gtmsecshr is not running from $ydb_dist/gtmsecshrdir or $ydb_dist cannot be determined	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRBADDIR
GTMSECSHRCHDIRF	gtmsecshr unable to chdir to its temporary directory (dddd)	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRCHDIRF
GTMSECSHRDMNSTARTED	gtmsecshr daemon started for version vvvv from dddd using socket file ssss	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRDMNSTARTED
GTMSECSHRFORKF	gtmsecshr server unable to fork off a child process	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRFORKF
GTMSECSHRGETSEMFAIL	error getting semaphore errno = xxxx	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRGETSEMFAIL
GTMSECSHRISNOT	gtmsecshr is not running as gtmsecshr but xxxxx - must be gtmsecshr	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRISNOT
GTMSECSHRNOARG0	gtmsecshr cannot identify its origin - argv[0] is null	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRNOARG0
GTMSECSHROPCMP	gtmsecshr operation may be compromised	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHROPCMP
GTMSECSHRPERM	The gtmsecshr module in $ydb_dist (DDDD) does not have the correct permission: PPPP, and UID: UUUU	Warning	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRPERM
GTMSECSHRRECVF	gtmsecshr receive on server socket failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRRECVF
GTMSECSHRREMFILE	[client pid pppp] File (ffff) removed	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRREMFILE
GTMSECSHRREMSEM	[client pid pppp] Semaphore (ssss) removed	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRREMSEM
GTMSECSHRREMSEMFAIL	error removing semaphore errno = xxxx	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRREMSEMFAIL
GTMSECSHRREMSHM	[client pid pppp] Shared memory segment (ssss) removed, nattch = nnnn	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRREMSHM
GTMSECSHRSCKSEL	gtmsecshr select on socket failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSCKSEL
GTMSECSHRSEMGET	semget error errno = xxxx	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSEMGET
GTMSECSHRSENDF	gtmsecshr send on server socket failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSENDF
GTMSECSHRSGIDF	gtmsecshr server setgid to root failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSGIDF
GTMSECSHRSHMCONCPROC	More than one process attached to Shared memory segment (ssss) not removed (nnnn)	Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSHMCONCPROC
GTMSECSHRSHUTDN	gtmsecshr process has received a shutdown request -- shutting down	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSHUTDN
GTMSECSHRSOCKET	xxxx - yyyy : Error initializing gtmsecshr socket	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSOCKET
GTMSECSHRSRVF	xxxx - yyyy : Attempt to service request failed (retry = zzzz)	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSRVF
GTMSECSHRSRVFID	xxxx: yyyy - Attempt to service request failed. client id: zzzz, mesg type: aaaa, mesg data: bbbb	Warning	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSRVFID
GTMSECSHRSRVFIL	xxxx: yyyy - Attempt to service request failed. client id: zzzz, mesg type: aaaa file: bbbb	Warning	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSRVFIL
GTMSECSHRSSIDF	gtmsecshr server setsid failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSSIDF
GTMSECSHRSTART	xxxx - yyyy : gtmsecshr failed to startup	Warning	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSTART
GTMSECSHRSUIDF	gtmsecshr server setuid to root failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRSUIDF
GTMSECSHRTMOUT	gtmsecshr exiting due to idle timeout	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRTMOUT
GTMSECSHRTMPPATH	gtmsecshr path is pppp	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRTMPPATH
GTMSECSHRUPDDBHDR	[client pid pppp] database fileheader (dddd) updated iiii	Information	ydb-extension	MessageRecovery/errors.rst#GTMSECSHRUPDDBHDR
GVDATAFAIL	Global variable $DATA function failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVDATAFAIL
GVDATAGETFAIL	Global variable DATAGET sub-operation (in KILL function) failed. Failure code: cccc.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVDATAGETFAIL
GVDBGNAKEDMISMATCH	Invalid GVNAKED in gv_optimize: $REFERENCE did not match OP_GVNAKED: AAAA != BBBB. Opcodes seen: CCCC	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVDBGNAKEDMISMATCH
GVDBGNAKEDUNSET	Invalid GVNAKED in gv_optimize: $REFERENCE was unset. Opcodes seen: CCCC	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVDBGNAKEDUNSET
GVFAILCORE	A core file is being created for later analysis if necessary	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVFAILCORE
GVGETFAIL	Global variable retrieval failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVGETFAIL
GVINCRFAIL	Global variable $INCR failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVINCRFAIL
GVINVALID	xxxx Invalid global name	Error	ydb-extension	MessageRecovery/errors.rst#GVINVALID
GVIS	Global variable: xxxx	Information	ydb-extension	MessageRecovery/errors.rst#GVIS
GVKILLFAIL	Global variable kill failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVKILLFAIL
GVNAKED	Illegal naked global reference	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVNAKED
GVNAKEDEXTNM	Cannot reference different global directory in a naked reference	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#GVNAKEDEXTNM
GVNUNSUPPORTED	Global variable name xxxx not supported in yyyy call	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVNUNSUPPORTED
GVORDERFAIL	Global variable $ORDER or $NEXT function failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVORDERFAIL
GVPUTFAIL	Global variable put failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVPUTFAIL
GVQUERYFAIL	Global variable $QUERY function failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVQUERYFAIL
GVQUERYGETFAIL	Global variable QUERY and GET failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVQUERYGETFAIL
GVRUNDOWN	Error during global database rundown	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVRUNDOWN
GVSUBOFLOW	Maximum combined length of subscripts exceeded	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVSUBOFLOW
GVUNDEF	Global variable undefined: xxxx	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVUNDEF
GVZPREVFAIL	Global variable $ZPREVIOUS function failed. Failure code: xxxx.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVZPREVFAIL
GVZTRIGFAIL	ZTRIGGER of a global variable failed. Failure code: cccc.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#GVZTRIGFAIL
HEX64ERR	Error: cannot convert VVVV value to 64 bit hexadecimal number	Error	ydb-extension	MessageRecovery/errors.rst#HEX64ERR
HEXERR	Error: cannot convert VVVV value to hexadecimal number	Error	ydb-extension	MessageRecovery/errors.rst#HEXERR
HLPPROC	Helper Process error	Error	ydb-extension	MessageRecovery/errors.rst#HLPPROC
HOSTCONFLICT	Host hhhh could not open database file dddd because it is marked as already open on node nnnn	Run Time Error	ydb-extension	MessageRecovery/errors.rst#HOSTCONFLICT
HTOFLOW	Hash table overflow: Failed to allocate xxxx elements	Error	ydb-extension	MessageRecovery/errors.rst#HTOFLOW
HTSHRINKFAIL	Hash table compaction failed to allocate new smaller table due to lack of memory	Run Time Error	ydb-extension	MessageRecovery/errors.rst#HTSHRINKFAIL
ICUERROR	ICU returned status ssss which is either unrecognized or inconsistent with the operating context	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ICUERROR
ICUNOTENABLED	ICU libraries not loaded	Warning	ydb-extension	MessageRecovery/errors.rst#ICUNOTENABLED
ICUSYMNOTFOUND	Symbol xxxxx not found in the ICU libraries. ICU needs to be built with symbol-renaming disabled or xxxxx environment variable needs to be properly specified	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ICUSYMNOTFOUND
ICUVERLT36	Type 1 - $ydb_icu_version/$gtm_icu_version is aaa.bbb. ICU version greater than or equal to 3.6 should be used. Type 2 - libicuio has version aaa.bbb. ICU version greater than or equal to 3.6 should be used.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ICUVERLT36
IFBADPARM	External Interface Bad Parameter	Run Time Error	ydb-extension	MessageRecovery/errors.rst#IFBADPARM
IFNOTINIT	External Interface must first call GTM$INIT or M routine	Run Time Error	ydb-extension	MessageRecovery/errors.rst#IFNOTINIT
IGNBMPMRKFREE	Ignoring bitmap free-up operation for region rrrr (dddd) due to concurrent ONLINE ROLLBACK	Information	ydb-extension	MessageRecovery/errors.rst#IGNBMPMRKFREE
ILLCHAR	xxxx is not a legal character in this context	Information	ydb-extension	MessageRecovery/errors.rst#ILLCHAR
ILLEGALUSE	"Illegal use of the special character ""?"" in %GSEL"	Error	ydb-extension	MessageRecovery/errors.rst#ILLEGALUSE
ILLESOCKBFSIZE	The specified socket buffer size is xxxx, which is either 0 or too big	Run Time Error	ydb-extension	MessageRecovery/errors.rst#ILLESOCKBFSIZE
